time,people_count
2024-10-29 11:00:00,0
2024-10-29 11:01:00,2
2024-10-29 11:02:00,8
2024-10-29 11:03:00,18
2024-10-29 11:04:00,28
2024-10-29 11:05:00,35
2024-10-29 11:06:00,44
2024-10-29 11:07:00,50
2024-10-29 11:08:00,58
2024-10-29 11:09:00,67
2024-10-29 11:10:00,76
2024-10-29 11:11:00,81
2024-10-29 11:12:00,87
2024-10-29 11:13:00,94
2024-10-29 11:14:00,99
2024-10-29 11:15:00,99
2024-10-29 11:16:00,108
2024-10-29 11:17:00,114
2024-10-29 11:18:00,122
2024-10-29 11:19:00,126
2024-10-29 11:20:00,134
2024-10-29 11:21:00,135
2024-10-29 11:22:00,142
2024-10-29 11:23:00,144
2024-10-29 11:24:00,144
2024-10-29 11:25:00,142
2024-10-29 11:26:00,138
2024-10-29 11:27:00,141
2024-10-29 11:28:00,143
2024-10-29 11:29:00,141
2024-10-29 11:30:00,141
2024-10-29 11:31:00,137
2024-10-29 11:32:00,140
2024-10-29 11:33:00,132
2024-10-29 11:34:00,133
2024-10-29 11:35:00,136
2024-10-29 11:36:00,136
2024-10-29 11:37:00,138
2024-10-29 11:38:00,139
2024-10-29 11:39:00,149
2024-10-29 11:40:00,152
2024-10-29 11:41:00,153
2024-10-29 11:42:00,157
2024-10-29 11:43:00,161
2024-10-29 11:44:00,170
2024-10-29 11:45:00,180
2024-10-29 11:46:00,190
2024-10-29 11:47:00,203
2024-10-29 11:48:00,211
2024-10-29 11:49:00,225
2024-10-29 11:50:00,229
2024-10-29 11:51:00,232
2024-10-29 11:52:00,242
2024-10-29 11:53:00,248
2024-10-29 11:54:00,256
2024-10-29 11:55:00,258
2024-10-29 11:56:00,263
2024-10-29 11:57:00,276
2024-10-29 11:58:00,288
2024-10-29 11:59:00,294
2024-10-29 12:00:00,305
2024-10-29 12:01:00,317
2024-10-29 12:02:00,328
2024-10-29 12:03:00,339
2024-10-29 12:04:00,347
2024-10-29 12:05:00,351
2024-10-29 12:06:00,364
2024-10-29 12:07:00,371
2024-10-29 12:08:00,376
2024-10-29 12:09:00,387
2024-10-29 12:10:00,390
2024-10-29 12:11:00,388
2024-10-29 12:12:00,387
2024-10-29 12:13:00,383
2024-10-29 12:14:00,378
2024-10-29 12:15:00,387
2024-10-29 12:16:00,390
2024-10-29 12:17:00,394
2024-10-29 12:18:00,393
2024-10-29 12:19:00,395
2024-10-29 12:20:00,398
2024-10-29 12:21:00,398
2024-10-29 12:22:00,391
2024-10-29 12:23:00,382
2024-10-29 12:24:00,367
2024-10-29 12:25:00,352
2024-10-29 12:26:00,332
2024-10-29 12:27:00,314
2024-10-29 12:28:00,292
2024-10-29 12:29:00,274
2024-10-29 12:30:00,254
2024-10-29 12:31:00,234
2024-10-29 12:32:00,229
2024-10-29 12:33:00,220
2024-10-29 12:34:00,220
2024-10-29 12:35:00,218
2024-10-29 12:36:00,215
2024-10-29 12:37:00,203
2024-10-29 12:38:00,203
2024-10-29 12:39:00,203
2024-10-29 12:40:00,207
2024-10-29 12:41:00,209
2024-10-29 12:42:00,209
2024-10-29 12:43:00,215
2024-10-29 12:44:00,207
2024-10-29 12:45:00,207
2024-10-29 12:46:00,201
2024-10-29 12:47:00,202
2024-10-29 12:48:00,199
2024-10-29 12:49:00,192
2024-10-29 12:50:00,192
2024-10-29 12:51:00,198
2024-10-29 12:52:00,196
2024-10-29 12:53:00,199
2024-10-29 12:54:00,199
2024-10-29 12:55:00,194
2024-10-29 12:56:00,181
2024-10-29 12:57:00,175
2024-10-29 12:58:00,167
2024-10-29 12:59:00,163
2024-10-29 13:00:00,166
2024-10-29 13:01:00,169
2024-10-29 13:02:00,160
2024-10-29 13:03:00,145
2024-10-29 13:04:00,135
2024-10-29 13:05:00,135
2024-10-29 13:06:00,131
2024-10-29 13:07:00,129
2024-10-29 13:08:00,131
2024-10-29 13:09:00,130
2024-10-29 13:10:00,124
2024-10-29 13:11:00,124
2024-10-29 13:12:00,119
2024-10-29 13:13:00,111
2024-10-29 13:14:00,109
2024-10-29 13:15:00,108
2024-10-29 13:16:00,104
2024-10-29 13:17:00,106
2024-10-29 13:18:00,100
2024-10-29 13:19:00,101
2024-10-29 13:20:00,102
2024-10-29 13:21:00,105
2024-10-29 13:22:00,109
2024-10-29 13:23:00,112
2024-10-29 13:24:00,107
2024-10-29 13:25:00,106
2024-10-29 13:26:00,109
2024-10-29 13:27:00,107
2024-10-29 13:28:00,110
2024-10-29 13:29:00,104
2024-10-29 13:30:00,107
2024-10-29 13:31:00,106
2024-10-29 13:32:00,105
2024-10-29 13:33:00,111
2024-10-29 13:34:00,113
2024-10-29 13:35:00,115
2024-10-29 13:36:00,110
2024-10-29 13:37:00,108
2024-10-29 13:38:00,107
2024-10-29 13:39:00,104
2024-10-29 13:40:00,100
2024-10-29 13:41:00,100
2024-10-29 13:42:00,100
2024-10-29 13:43:00,91
2024-10-29 13:44:00,89
2024-10-29 13:45:00,90
2024-10-29 13:46:00,87
2024-10-29 13:47:00,88
2024-10-29 13:48:00,88
2024-10-29 13:49:00,87
2024-10-29 13:50:00,88
2024-10-29 13:51:00,88
2024-10-29 13:52:00,92
2024-10-29 13:53:00,92
2024-10-29 13:54:00,92
2024-10-29 13:55:00,87
2024-10-29 13:56:00,85
2024-10-29 13:57:00,86
2024-10-29 13:58:00,87
2024-10-29 13:59:00,81
