time,people_count
2024-10-30 11:00:00,0
2024-10-30 11:01:00,0
2024-10-30 11:02:00,2
2024-10-30 11:03:00,5
2024-10-30 11:04:00,10
2024-10-30 11:05:00,15
2024-10-30 11:06:00,18
2024-10-30 11:07:00,23
2024-10-30 11:08:00,25
2024-10-30 11:09:00,28
2024-10-30 11:10:00,34
2024-10-30 11:11:00,40
2024-10-30 11:12:00,44
2024-10-30 11:13:00,45
2024-10-30 11:14:00,50
2024-10-30 11:15:00,49
2024-10-30 11:16:00,48
2024-10-30 11:17:00,49
2024-10-30 11:18:00,46
2024-10-30 11:19:00,49
2024-10-30 11:20:00,49
2024-10-30 11:21:00,52
2024-10-30 11:22:00,55
2024-10-30 11:23:00,59
2024-10-30 11:24:00,61
2024-10-30 11:25:00,60
2024-10-30 11:26:00,56
2024-10-30 11:27:00,54
2024-10-30 11:28:00,54
2024-10-30 11:29:00,56
2024-10-30 11:30:00,57
2024-10-30 11:31:00,60
2024-10-30 11:32:00,66
2024-10-30 11:33:00,66
2024-10-30 11:34:00,72
2024-10-30 11:35:00,84
2024-10-30 11:36:00,90
2024-10-30 11:37:00,92
2024-10-30 11:38:00,100
2024-10-30 11:39:00,111
2024-10-30 11:40:00,117
2024-10-30 11:41:00,124
2024-10-30 11:42:00,131
2024-10-30 11:43:00,133
2024-10-30 11:44:00,141
2024-10-30 11:45:00,141
2024-10-30 11:46:00,146
2024-10-30 11:47:00,147
2024-10-30 11:48:00,152
2024-10-30 11:49:00,168
2024-10-30 11:50:00,178
2024-10-30 11:51:00,194
2024-10-30 11:52:00,197
2024-10-30 11:53:00,204
2024-10-30 11:54:00,215
2024-10-30 11:55:00,220
2024-10-30 11:56:00,227
2024-10-30 11:57:00,242
2024-10-30 11:58:00,258
2024-10-30 11:59:00,265
2024-10-30 12:00:00,274
2024-10-30 12:01:00,280
2024-10-30 12:02:00,289
2024-10-30 12:03:00,302
2024-10-30 12:04:00,312
2024-10-30 12:05:00,323
2024-10-30 12:06:00,328
2024-10-30 12:07:00,327
2024-10-30 12:08:00,340
2024-10-30 12:09:00,349
2024-10-30 12:10:00,359
2024-10-30 12:11:00,364
2024-10-30 12:12:00,369
2024-10-30 12:13:00,377
2024-10-30 12:14:00,377
2024-10-30 12:15:00,384
2024-10-30 12:16:00,391
2024-10-30 12:17:00,398
2024-10-30 12:18:00,400
2024-10-30 12:19:00,394
2024-10-30 12:20:00,381
2024-10-30 12:21:00,374
2024-10-30 12:22:00,374
2024-10-30 12:23:00,379
2024-10-30 12:24:00,373
2024-10-30 12:25:00,364
2024-10-30 12:26:00,354
2024-10-30 12:27:00,341
2024-10-30 12:28:00,338
2024-10-30 12:29:00,324
2024-10-30 12:30:00,311
2024-10-30 12:31:00,303
2024-10-30 12:32:00,300
2024-10-30 12:33:00,282
2024-10-30 12:34:00,277
2024-10-30 12:35:00,266
2024-10-30 12:36:00,259
2024-10-30 12:37:00,259
2024-10-30 12:38:00,249
2024-10-30 12:39:00,236
2024-10-30 12:40:00,226
2024-10-30 12:41:00,218
2024-10-30 12:42:00,211
2024-10-30 12:43:00,208
2024-10-30 12:44:00,196
2024-10-30 12:45:00,184
2024-10-30 12:46:00,176
2024-10-30 12:47:00,168
2024-10-30 12:48:00,159
2024-10-30 12:49:00,163
2024-10-30 12:50:00,161
2024-10-30 12:51:00,153
2024-10-30 12:52:00,145
2024-10-30 12:53:00,143
2024-10-30 12:54:00,147
2024-10-30 12:55:00,148
2024-10-30 12:56:00,143
2024-10-30 12:57:00,134
2024-10-30 12:58:00,133
2024-10-30 12:59:00,127
2024-10-30 13:00:00,115
2024-10-30 13:01:00,107
2024-10-30 13:02:00,104
2024-10-30 13:03:00,106
2024-10-30 13:04:00,102
2024-10-30 13:05:00,94
2024-10-30 13:06:00,90
2024-10-30 13:07:00,94
2024-10-30 13:08:00,90
2024-10-30 13:09:00,90
2024-10-30 13:10:00,92
2024-10-30 13:11:00,93
2024-10-30 13:12:00,92
2024-10-30 13:13:00,93
2024-10-30 13:14:00,93
2024-10-30 13:15:00,93
2024-10-30 13:16:00,94
2024-10-30 13:17:00,95
2024-10-30 13:18:00,94
2024-10-30 13:19:00,92
2024-10-30 13:20:00,90
2024-10-30 13:21:00,86
2024-10-30 13:22:00,84
2024-10-30 13:23:00,81
2024-10-30 13:24:00,83
2024-10-30 13:25:00,85
2024-10-30 13:26:00,86
2024-10-30 13:27:00,85
2024-10-30 13:28:00,78
2024-10-30 13:29:00,75
2024-10-30 13:30:00,74
2024-10-30 13:31:00,69
2024-10-30 13:32:00,70
2024-10-30 13:33:00,66
2024-10-30 13:34:00,68
2024-10-30 13:35:00,66
2024-10-30 13:36:00,68
2024-10-30 13:37:00,69
2024-10-30 13:38:00,69
2024-10-30 13:39:00,70
2024-10-30 13:40:00,72
2024-10-30 13:41:00,70
2024-10-30 13:42:00,71
2024-10-30 13:43:00,72
2024-10-30 13:44:00,73
2024-10-30 13:45:00,71
2024-10-30 13:46:00,69
2024-10-30 13:47:00,70
2024-10-30 13:48:00,67
2024-10-30 13:49:00,66
2024-10-30 13:50:00,62
2024-10-30 13:51:00,58
2024-10-30 13:52:00,60
2024-10-30 13:53:00,61
2024-10-30 13:54:00,59
2024-10-30 13:55:00,57
2024-10-30 13:56:00,59
2024-10-30 13:57:00,59
2024-10-30 13:58:00,55
2024-10-30 13:59:00,52
2024-10-30 14:00:00,53
