time,people_count
2024-10-31 17:00:00,0
2024-10-31 17:01:00,-1
2024-10-31 17:02:00,-1
2024-10-31 17:03:00,0
2024-10-31 17:04:00,5
2024-10-31 17:05:00,8
2024-10-31 17:06:00,15
2024-10-31 17:07:00,19
2024-10-31 17:08:00,24
2024-10-31 17:09:00,33
2024-10-31 17:10:00,38
2024-10-31 17:11:00,43
2024-10-31 17:12:00,48
2024-10-31 17:13:00,50
2024-10-31 17:14:00,57
2024-10-31 17:15:00,60
2024-10-31 17:16:00,64
2024-10-31 17:17:00,72
2024-10-31 17:18:00,78
2024-10-31 17:19:00,76
2024-10-31 17:20:00,79
2024-10-31 17:21:00,83
2024-10-31 17:22:00,84
2024-10-31 17:23:00,88
2024-10-31 17:24:00,89
2024-10-31 17:25:00,90
2024-10-31 17:26:00,86
2024-10-31 17:27:00,84
2024-10-31 17:28:00,86
2024-10-31 17:29:00,85
2024-10-31 17:30:00,82
2024-10-31 17:31:00,82
2024-10-31 17:32:00,83
2024-10-31 17:33:00,86
2024-10-31 17:34:00,87
2024-10-31 17:35:00,89
2024-10-31 17:36:00,88
2024-10-31 17:37:00,87
2024-10-31 17:38:00,89
2024-10-31 17:39:00,88
2024-10-31 17:40:00,91
2024-10-31 17:41:00,95
2024-10-31 17:42:00,101
2024-10-31 17:43:00,101
2024-10-31 17:44:00,103
2024-10-31 17:45:00,100
2024-10-31 17:46:00,96
2024-10-31 17:47:00,97
2024-10-31 17:48:00,100
2024-10-31 17:49:00,107
2024-10-31 17:50:00,105
2024-10-31 17:51:00,107
2024-10-31 17:52:00,100
2024-10-31 17:53:00,105
2024-10-31 17:54:00,99
2024-10-31 17:55:00,97
2024-10-31 17:56:00,99
2024-10-31 17:57:00,100
2024-10-31 17:58:00,98
2024-10-31 17:59:00,101
2024-10-31 18:00:00,99
2024-10-31 18:01:00,102
2024-10-31 18:02:00,112
2024-10-31 18:03:00,120
2024-10-31 18:04:00,125
2024-10-31 18:05:00,130
2024-10-31 18:06:00,132
2024-10-31 18:07:00,135
2024-10-31 18:08:00,140
2024-10-31 18:09:00,144
2024-10-31 18:10:00,146
2024-10-31 18:11:00,147
2024-10-31 18:12:00,147
2024-10-31 18:13:00,145
2024-10-31 18:14:00,140
2024-10-31 18:15:00,138
2024-10-31 18:16:00,138
2024-10-31 18:17:00,129
2024-10-31 18:18:00,127
2024-10-31 18:19:00,125
2024-10-31 18:20:00,126
2024-10-31 18:21:00,131
2024-10-31 18:22:00,133
2024-10-31 18:23:00,129
2024-10-31 18:24:00,126
2024-10-31 18:25:00,119
2024-10-31 18:26:00,120
2024-10-31 18:27:00,116
2024-10-31 18:28:00,117
2024-10-31 18:29:00,113
2024-10-31 18:30:00,118
2024-10-31 18:31:00,118
2024-10-31 18:32:00,117
2024-10-31 18:33:00,110
2024-10-31 18:34:00,108
2024-10-31 18:35:00,113
2024-10-31 18:36:00,112
2024-10-31 18:37:00,109
2024-10-31 18:38:00,106
2024-10-31 18:39:00,102
2024-10-31 18:40:00,103
2024-10-31 18:41:00,101
2024-10-31 18:42:00,98
2024-10-31 18:43:00,98
2024-10-31 18:44:00,91
2024-10-31 18:45:00,81
2024-10-31 18:46:00,81
2024-10-31 18:47:00,82
2024-10-31 18:48:00,83
2024-10-31 18:49:00,80
2024-10-31 18:50:00,87
2024-10-31 18:51:00,87
2024-10-31 18:52:00,87
2024-10-31 18:53:00,84
2024-10-31 18:54:00,79
2024-10-31 18:55:00,79
2024-10-31 18:56:00,80
2024-10-31 18:57:00,80
2024-10-31 18:58:00,82
2024-10-31 18:59:00,82
2024-10-31 19:00:00,80
2024-10-31 19:01:00,80
2024-10-31 19:02:00,76
2024-10-31 19:03:00,76
2024-10-31 19:04:00,72
2024-10-31 19:05:00,69
2024-10-31 19:06:00,66
2024-10-31 19:07:00,68
2024-10-31 19:08:00,67
2024-10-31 19:09:00,64
2024-10-31 19:10:00,62
2024-10-31 19:11:00,65
2024-10-31 19:12:00,66
2024-10-31 19:13:00,66
2024-10-31 19:14:00,60
2024-10-31 19:15:00,62
2024-10-31 19:16:00,61
2024-10-31 19:17:00,62
2024-10-31 19:18:00,62
2024-10-31 19:19:00,61
2024-10-31 19:20:00,62
2024-10-31 19:21:00,60
2024-10-31 19:22:00,60
2024-10-31 19:23:00,56
2024-10-31 19:24:00,56
2024-10-31 19:25:00,54
2024-10-31 19:26:00,57
2024-10-31 19:27:00,59
2024-10-31 19:28:00,61
2024-10-31 19:29:00,63
2024-10-31 19:30:00,64
2024-10-31 19:31:00,65
2024-10-31 19:32:00,62
2024-10-31 19:33:00,59
2024-10-31 19:34:00,55
2024-10-31 19:35:00,52
2024-10-31 19:36:00,52
2024-10-31 19:37:00,53
2024-10-31 19:38:00,53
2024-10-31 19:39:00,53
2024-10-31 19:40:00,50
2024-10-31 19:41:00,49
2024-10-31 19:42:00,48
2024-10-31 19:43:00,47
2024-10-31 19:44:00,47
2024-10-31 19:45:00,46
2024-10-31 19:46:00,44
2024-10-31 19:47:00,43
2024-10-31 19:48:00,41
2024-10-31 19:49:00,41
2024-10-31 19:50:00,38
2024-10-31 19:51:00,35
2024-10-31 19:52:00,31
2024-10-31 19:53:00,31
2024-10-31 19:54:00,31
2024-10-31 19:55:00,29
2024-10-31 19:56:00,28
2024-10-31 19:57:00,24
2024-10-31 19:58:00,21
2024-10-31 19:59:00,20
2024-10-31 20:00:00,20
