time,people_count
2024-11-01 11:00:00,0
2024-11-01 11:01:00,3
2024-11-01 11:02:00,5
2024-11-01 11:03:00,6
2024-11-01 11:04:00,12
2024-11-01 11:05:00,14
2024-11-01 11:06:00,15
2024-11-01 11:07:00,17
2024-11-01 11:08:00,20
2024-11-01 11:09:00,26
2024-11-01 11:10:00,28
2024-11-01 11:11:00,33
2024-11-01 11:12:00,37
2024-11-01 11:13:00,39
2024-11-01 11:14:00,42
2024-11-01 11:15:00,45
2024-11-01 11:16:00,45
2024-11-01 11:17:00,49
2024-11-01 11:18:00,49
2024-11-01 11:19:00,51
2024-11-01 11:20:00,54
2024-11-01 11:21:00,57
2024-11-01 11:22:00,58
2024-11-01 11:23:00,62
2024-11-01 11:24:00,63
2024-11-01 11:25:00,66
2024-11-01 11:26:00,68
2024-11-01 11:27:00,74
2024-11-01 11:28:00,77
2024-11-01 11:29:00,79
2024-11-01 11:30:00,83
2024-11-01 11:31:00,84
2024-11-01 11:32:00,84
2024-11-01 11:33:00,86
2024-11-01 11:34:00,88
2024-11-01 11:35:00,87
2024-11-01 11:36:00,93
2024-11-01 11:37:00,96
2024-11-01 11:38:00,103
2024-11-01 11:39:00,111
2024-11-01 11:40:00,114
2024-11-01 11:41:00,123
2024-11-01 11:42:00,131
2024-11-01 11:43:00,127
2024-11-01 11:44:00,133
2024-11-01 11:45:00,135
2024-11-01 11:46:00,146
2024-11-01 11:47:00,156
2024-11-01 11:48:00,160
2024-11-01 11:49:00,166
2024-11-01 11:50:00,172
2024-11-01 11:51:00,180
2024-11-01 11:52:00,198
2024-11-01 11:53:00,208
2024-11-01 11:54:00,221
2024-11-01 11:55:00,229
2024-11-01 11:56:00,230
2024-11-01 11:57:00,235
2024-11-01 11:58:00,244
2024-11-01 11:59:00,256
2024-11-01 12:00:00,267
2024-11-01 12:01:00,276
2024-11-01 12:02:00,280
2024-11-01 12:03:00,297
2024-11-01 12:04:00,305
2024-11-01 12:05:00,317
2024-11-01 12:06:00,314
2024-11-01 12:07:00,325
2024-11-01 12:08:00,336
2024-11-01 12:09:00,336
2024-11-01 12:10:00,343
2024-11-01 12:11:00,343
2024-11-01 12:12:00,351
2024-11-01 12:13:00,366
2024-11-01 12:14:00,375
2024-11-01 12:15:00,382
2024-11-01 12:16:00,377
2024-11-01 12:17:00,378
2024-11-01 12:18:00,386
2024-11-01 12:19:00,377
2024-11-01 12:20:00,360
2024-11-01 12:21:00,351
2024-11-01 12:22:00,345
2024-11-01 12:23:00,325
2024-11-01 12:24:00,313
2024-11-01 12:25:00,306
2024-11-01 12:26:00,288
2024-11-01 12:27:00,275
2024-11-01 12:28:00,265
2024-11-01 12:29:00,248
2024-11-01 12:30:00,234
2024-11-01 12:31:00,218
2024-11-01 12:32:00,198
2024-11-01 12:33:00,183
2024-11-01 12:34:00,176
2024-11-01 12:35:00,177
2024-11-01 12:36:00,184
2024-11-01 12:37:00,182
2024-11-01 12:38:00,179
2024-11-01 12:39:00,180
2024-11-01 12:40:00,174
2024-11-01 12:41:00,175
2024-11-01 12:42:00,172
2024-11-01 12:43:00,166
2024-11-01 12:44:00,164
2024-11-01 12:45:00,157
2024-11-01 12:46:00,163
2024-11-01 12:47:00,160
2024-11-01 12:48:00,160
2024-11-01 12:49:00,159
2024-11-01 12:50:00,156
2024-11-01 12:51:00,144
2024-11-01 12:52:00,142
2024-11-01 12:53:00,138
2024-11-01 12:54:00,134
2024-11-01 12:55:00,134
2024-11-01 12:56:00,137
2024-11-01 12:57:00,131
2024-11-01 12:58:00,129
2024-11-01 12:59:00,126
2024-11-01 13:00:00,122
2024-11-01 13:01:00,120
2024-11-01 13:02:00,111
2024-11-01 13:03:00,111
2024-11-01 13:04:00,110
2024-11-01 13:05:00,107
2024-11-01 13:06:00,107
2024-11-01 13:07:00,103
2024-11-01 13:08:00,103
2024-11-01 13:09:00,103
2024-11-01 13:10:00,102
2024-11-01 13:11:00,102
2024-11-01 13:12:00,99
2024-11-01 13:13:00,100
2024-11-01 13:14:00,99
2024-11-01 13:15:00,99
2024-11-01 13:16:00,99
2024-11-01 13:17:00,95
2024-11-01 13:18:00,92
2024-11-01 13:19:00,92
2024-11-01 13:20:00,89
2024-11-01 13:21:00,85
2024-11-01 13:22:00,82
2024-11-01 13:23:00,81
2024-11-01 13:24:00,81
2024-11-01 13:25:00,80
2024-11-01 13:26:00,75
2024-11-01 13:27:00,76
2024-11-01 13:28:00,74
2024-11-01 13:29:00,73
2024-11-01 13:30:00,67
2024-11-01 13:31:00,66
2024-11-01 13:32:00,65
2024-11-01 13:33:00,66
2024-11-01 13:34:00,63
2024-11-01 13:35:00,59
2024-11-01 13:36:00,59
2024-11-01 13:37:00,57
2024-11-01 13:38:00,55
2024-11-01 13:39:00,55
2024-11-01 13:40:00,55
2024-11-01 13:41:00,52
2024-11-01 13:42:00,51
2024-11-01 13:43:00,48
2024-11-01 13:44:00,47
2024-11-01 13:45:00,46
2024-11-01 13:46:00,48
2024-11-01 13:47:00,46
2024-11-01 13:48:00,42
2024-11-01 13:49:00,42
2024-11-01 13:50:00,42
2024-11-01 13:51:00,45
2024-11-01 13:52:00,45
2024-11-01 13:53:00,45
2024-11-01 13:54:00,40
2024-11-01 13:55:00,40
2024-11-01 13:56:00,41
2024-11-01 13:57:00,39
2024-11-01 13:58:00,36
2024-11-01 13:59:00,33
