time,people_count
2024-10-31 11:00:00,0
2024-10-31 11:01:00,5
2024-10-31 11:02:00,7
2024-10-31 11:03:00,13
2024-10-31 11:04:00,25
2024-10-31 11:05:00,37
2024-10-31 11:06:00,44
2024-10-31 11:07:00,52
2024-10-31 11:08:00,61
2024-10-31 11:09:00,65
2024-10-31 11:10:00,73
2024-10-31 11:11:00,75
2024-10-31 11:12:00,80
2024-10-31 11:13:00,81
2024-10-31 11:14:00,85
2024-10-31 11:15:00,86
2024-10-31 11:16:00,85
2024-10-31 11:17:00,92
2024-10-31 11:18:00,92
2024-10-31 11:19:00,91
2024-10-31 11:20:00,95
2024-10-31 11:21:00,101
2024-10-31 11:22:00,107
2024-10-31 11:23:00,111
2024-10-31 11:24:00,111
2024-10-31 11:25:00,117
2024-10-31 11:26:00,114
2024-10-31 11:27:00,115
2024-10-31 11:28:00,114
2024-10-31 11:29:00,118
2024-10-31 11:30:00,120
2024-10-31 11:31:00,120
2024-10-31 11:32:00,129
2024-10-31 11:33:00,134
2024-10-31 11:34:00,138
2024-10-31 11:35:00,143
2024-10-31 11:36:00,147
2024-10-31 11:37:00,157
2024-10-31 11:38:00,159
2024-10-31 11:39:00,162
2024-10-31 11:40:00,169
2024-10-31 11:41:00,173
2024-10-31 11:42:00,177
2024-10-31 11:43:00,187
2024-10-31 11:44:00,192
2024-10-31 11:45:00,194
2024-10-31 11:46:00,204
2024-10-31 11:47:00,209
2024-10-31 11:48:00,215
2024-10-31 11:49:00,225
2024-10-31 11:50:00,233
2024-10-31 11:51:00,242
2024-10-31 11:52:00,247
2024-10-31 11:53:00,250
2024-10-31 11:54:00,259
2024-10-31 11:55:00,267
2024-10-31 11:56:00,273
2024-10-31 11:57:00,288
2024-10-31 11:58:00,299
2024-10-31 11:59:00,303
2024-10-31 12:00:00,308
2024-10-31 12:01:00,318
2024-10-31 12:02:00,327
2024-10-31 12:03:00,338
2024-10-31 12:04:00,345
2024-10-31 12:05:00,351
2024-10-31 12:06:00,358
2024-10-31 12:07:00,372
2024-10-31 12:08:00,367
2024-10-31 12:09:00,377
2024-10-31 12:10:00,382
2024-10-31 12:11:00,387
2024-10-31 12:12:00,392
2024-10-31 12:13:00,395
2024-10-31 12:14:00,395
2024-10-31 12:15:00,384
2024-10-31 12:16:00,374
2024-10-31 12:17:00,362
2024-10-31 12:18:00,343
2024-10-31 12:19:00,324
2024-10-31 12:20:00,317
2024-10-31 12:21:00,305
2024-10-31 12:22:00,301
2024-10-31 12:23:00,285
2024-10-31 12:24:00,276
2024-10-31 12:25:00,269
2024-10-31 12:26:00,255
2024-10-31 12:27:00,249
2024-10-31 12:28:00,235
2024-10-31 12:29:00,228
2024-10-31 12:30:00,217
2024-10-31 12:31:00,212
2024-10-31 12:32:00,209
2024-10-31 12:33:00,200
2024-10-31 12:34:00,197
2024-10-31 12:35:00,187
2024-10-31 12:36:00,186
2024-10-31 12:37:00,185
2024-10-31 12:38:00,184
2024-10-31 12:39:00,175
2024-10-31 12:40:00,178
2024-10-31 12:41:00,175
2024-10-31 12:42:00,176
2024-10-31 12:43:00,171
2024-10-31 12:44:00,168
2024-10-31 12:45:00,166
2024-10-31 12:46:00,161
2024-10-31 12:47:00,161
2024-10-31 12:48:00,154
2024-10-31 12:49:00,143
2024-10-31 12:50:00,138
2024-10-31 12:51:00,142
2024-10-31 12:52:00,143
2024-10-31 12:53:00,137
2024-10-31 12:54:00,130
2024-10-31 12:55:00,120
2024-10-31 12:56:00,121
2024-10-31 12:57:00,122
2024-10-31 12:58:00,120
2024-10-31 12:59:00,122
2024-10-31 13:00:00,122
2024-10-31 13:01:00,121
2024-10-31 13:02:00,120
2024-10-31 13:03:00,123
2024-10-31 13:04:00,119
2024-10-31 13:05:00,115
2024-10-31 13:06:00,119
2024-10-31 13:07:00,120
2024-10-31 13:08:00,118
2024-10-31 13:09:00,116
2024-10-31 13:10:00,119
2024-10-31 13:11:00,118
2024-10-31 13:12:00,122
2024-10-31 13:13:00,119
2024-10-31 13:14:00,117
2024-10-31 13:15:00,114
2024-10-31 13:16:00,115
2024-10-31 13:17:00,112
2024-10-31 13:18:00,107
2024-10-31 13:19:00,108
2024-10-31 13:20:00,110
2024-10-31 13:21:00,107
2024-10-31 13:22:00,102
2024-10-31 13:23:00,96
2024-10-31 13:24:00,94
2024-10-31 13:25:00,87
2024-10-31 13:26:00,85
2024-10-31 13:27:00,83
2024-10-31 13:28:00,83
2024-10-31 13:29:00,79
2024-10-31 13:30:00,82
2024-10-31 13:31:00,79
2024-10-31 13:32:00,80
2024-10-31 13:33:00,83
2024-10-31 13:34:00,84
2024-10-31 13:35:00,84
2024-10-31 13:36:00,84
2024-10-31 13:37:00,87
2024-10-31 13:38:00,87
2024-10-31 13:39:00,86
2024-10-31 13:40:00,84
2024-10-31 13:41:00,84
2024-10-31 13:42:00,86
2024-10-31 13:43:00,88
2024-10-31 13:44:00,87
2024-10-31 13:45:00,88
2024-10-31 13:46:00,88
2024-10-31 13:47:00,91
2024-10-31 13:48:00,91
2024-10-31 13:49:00,91
2024-10-31 13:50:00,87
2024-10-31 13:51:00,86
2024-10-31 13:52:00,85
2024-10-31 13:53:00,82
2024-10-31 13:54:00,79
2024-10-31 13:55:00,78
2024-10-31 13:56:00,75
2024-10-31 13:57:00,76
2024-10-31 13:58:00,74
2024-10-31 13:59:00,75
