time,people_count
2024-10-28 11:00:00,0
2024-10-28 11:01:00,1
2024-10-28 11:02:00,4
2024-10-28 11:03:00,12
2024-10-28 11:04:00,18
2024-10-28 11:05:00,22
2024-10-28 11:06:00,25
2024-10-28 11:07:00,30
2024-10-28 11:08:00,31
2024-10-28 11:09:00,37
2024-10-28 11:10:00,39
2024-10-28 11:11:00,42
2024-10-28 11:12:00,44
2024-10-28 11:13:00,46
2024-10-28 11:14:00,48
2024-10-28 11:15:00,50
2024-10-28 11:16:00,58
2024-10-28 11:17:00,62
2024-10-28 11:18:00,63
2024-10-28 11:19:00,67
2024-10-28 11:20:00,69
2024-10-28 11:21:00,71
2024-10-28 11:22:00,73
2024-10-28 11:23:00,80
2024-10-28 11:24:00,83
2024-10-28 11:25:00,88
2024-10-28 11:26:00,92
2024-10-28 11:27:00,96
2024-10-28 11:28:00,100
2024-10-28 11:29:00,106
2024-10-28 11:30:00,110
2024-10-28 11:31:00,108
2024-10-28 11:32:00,112
2024-10-28 11:33:00,122
2024-10-28 11:34:00,131
2024-10-28 11:35:00,145
2024-10-28 11:36:00,149
2024-10-28 11:37:00,154
2024-10-28 11:38:00,156
2024-10-28 11:39:00,162
2024-10-28 11:40:00,166
2024-10-28 11:41:00,175
2024-10-28 11:42:00,179
2024-10-28 11:43:00,180
2024-10-28 11:44:00,182
2024-10-28 11:45:00,191
2024-10-28 11:46:00,188
2024-10-28 11:47:00,190
2024-10-28 11:48:00,200
2024-10-28 11:49:00,203
2024-10-28 11:50:00,212
2024-10-28 11:51:00,220
2024-10-28 11:52:00,228
2024-10-28 11:53:00,244
2024-10-28 11:54:00,252
2024-10-28 11:55:00,258
2024-10-28 11:56:00,273
2024-10-28 11:57:00,276
2024-10-28 11:58:00,283
2024-10-28 11:59:00,287
2024-10-28 12:00:00,292
2024-10-28 12:01:00,302
2024-10-28 12:02:00,308
2024-10-28 12:03:00,316
2024-10-28 12:04:00,330
2024-10-28 12:05:00,331
2024-10-28 12:06:00,327
2024-10-28 12:07:00,342
2024-10-28 12:08:00,351
2024-10-28 12:09:00,354
2024-10-28 12:10:00,364
2024-10-28 12:11:00,367
2024-10-28 12:12:00,365
2024-10-28 12:13:00,367
2024-10-28 12:14:00,369
2024-10-28 12:15:00,378
2024-10-28 12:16:00,376
2024-10-28 12:17:00,377
2024-10-28 12:18:00,379
2024-10-28 12:19:00,391
2024-10-28 12:20:00,404
2024-10-28 12:21:00,407
2024-10-28 12:22:00,412
2024-10-28 12:23:00,412
2024-10-28 12:24:00,401
2024-10-28 12:25:00,395
2024-10-28 12:26:00,386
2024-10-28 12:27:00,373
2024-10-28 12:28:00,364
2024-10-28 12:29:00,356
2024-10-28 12:30:00,348
2024-10-28 12:31:00,337
2024-10-28 12:32:00,338
2024-10-28 12:33:00,336
2024-10-28 12:34:00,337
2024-10-28 12:35:00,339
2024-10-28 12:36:00,335
2024-10-28 12:37:00,338
2024-10-28 12:38:00,339
2024-10-28 12:39:00,339
2024-10-28 12:40:00,334
2024-10-28 12:41:00,333
2024-10-28 12:42:00,332
2024-10-28 12:43:00,332
2024-10-28 12:44:00,332
2024-10-28 12:45:00,335
2024-10-28 12:46:00,339
2024-10-28 12:47:00,337
2024-10-28 12:48:00,332
2024-10-28 12:49:00,338
2024-10-28 12:50:00,337
2024-10-28 12:51:00,339
2024-10-28 12:52:00,334
2024-10-28 12:53:00,332
2024-10-28 12:54:00,328
2024-10-28 12:55:00,329
2024-10-28 12:56:00,324
2024-10-28 12:57:00,324
2024-10-28 12:58:00,321
2024-10-28 12:59:00,315
2024-10-28 13:00:00,314
2024-10-28 13:01:00,304
2024-10-28 13:02:00,302
2024-10-28 13:03:00,301
2024-10-28 13:04:00,301
2024-10-28 13:05:00,296
2024-10-28 13:06:00,295
2024-10-28 13:07:00,292
2024-10-28 13:08:00,299
2024-10-28 13:09:00,292
2024-10-28 13:10:00,292
2024-10-28 13:11:00,294
2024-10-28 13:12:00,295
2024-10-28 13:13:00,300
2024-10-28 13:14:00,302
2024-10-28 13:15:00,295
2024-10-28 13:16:00,295
2024-10-28 13:17:00,295
2024-10-28 13:18:00,290
2024-10-28 13:19:00,285
2024-10-28 13:20:00,286
2024-10-28 13:21:00,286
2024-10-28 13:22:00,285
2024-10-28 13:23:00,281
2024-10-28 13:24:00,280
2024-10-28 13:25:00,276
2024-10-28 13:26:00,280
2024-10-28 13:27:00,273
2024-10-28 13:28:00,274
2024-10-28 13:29:00,275
2024-10-28 13:30:00,279
2024-10-28 13:31:00,280
2024-10-28 13:32:00,279
2024-10-28 13:33:00,281
2024-10-28 13:34:00,280
2024-10-28 13:35:00,272
2024-10-28 13:36:00,271
2024-10-28 13:37:00,271
2024-10-28 13:38:00,271
2024-10-28 13:39:00,270
2024-10-28 13:40:00,271
2024-10-28 13:41:00,270
2024-10-28 13:42:00,268
2024-10-28 13:43:00,270
2024-10-28 13:44:00,268
2024-10-28 13:45:00,267
2024-10-28 13:46:00,264
2024-10-28 13:47:00,263
2024-10-28 13:48:00,262
2024-10-28 13:49:00,261
2024-10-28 13:50:00,264
2024-10-28 13:51:00,266
2024-10-28 13:52:00,264
2024-10-28 13:53:00,262
2024-10-28 13:54:00,265
2024-10-28 13:55:00,269
2024-10-28 13:56:00,269
2024-10-28 13:57:00,270
2024-10-28 13:58:00,269
2024-10-28 13:59:00,269
